,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
0,3662,SUNBEAM CORP/FL/,199803,1998-03-06,10-K405,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt,20,74,-0.5744680789950205,43.27058823529412,0.5714851485148514,17.53682935352359,1443,2525,30,11,0.007920792079207921,0.029306930693069305,0.011881188118811881,0.004356435643564357,0,0,0.0,1.0,0,0.4,0,0,0,0,,,0.0,0.0,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,1487
1,3662,SUNBEAM CORP/FL/,199805,1998-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-001001.txt,11,54,-0.6615384513609469,50.57142857142857,0.612407211028632,20.47353431298288,1155,1886,66,3,0.005832449628844115,0.02863202545068929,0.03499469777306469,0.0015906680805938495,0,0,0.0,1.0,0,0.4,0,0,0,0,,,0.0,0.0,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,1045
2,3662,SUNBEAM CORP/FL/,199808,1998-08-13,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-000783.txt,0,0,0.0,1.0,0.0,0.4,0,0,0,0,,,,,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,5
3,3662,SUNBEAM CORP/FL/,199811,1998-11-12,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002145.txt,44,148,-0.5416666638454861,40.50282485875706,0.5760065735414954,16.431532572919423,2804,4868,91,49,0.009038619556285949,0.030402629416598194,0.018693508627773213,0.010065735414954808,0,0,0.0,1.0,0,0.4,0,0,0,0,,,0.0,0.0,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,716
4,3662,SUNBEAM CORP/FL/,199811,1998-11-16,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-001203.txt,0,0,0.0,1.0,0.0,0.4,0,0,0,0,,,,,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,4
5,3662,SUNBEAM CORP/FL/,199811,1998-11-25,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002278.txt,24,80,-0.5384615332840237,40.33582089552239,0.596338028169014,16.37286356947656,2117,3550,100,28,0.0067605633802816905,0.022535211267605635,0.028169014084507043,0.007887323943661971,0,0,0.0,1.0,0,0.4,0,0,0,0,,,0.0,0.0,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,90
6,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002401.txt,46,131,-0.48022598598742383,39.535,0.5915768854064642,16.050630754162583,3020,5105,123,41,0.009010773751224289,0.02566111655239961,0.024094025465230165,0.00803134182174339,0,0,0.0,1.0,0,0.4,0,0,0,0,,,0.0,0.0,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,271
7,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002402.txt,43,126,-0.49112425744896887,38.1958762886598,0.5929295017572875,15.515522316166836,2868,4837,122,39,0.00888980773206533,0.02604920405209841,0.025222245193301632,0.008062848873268556,0,0,0.0,1.0,0,0.4,0,0,0,0,,,0.0,0.0,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,105
8,3662,SUNBEAM CORP/FL/,199903,1999-03-31,NT 10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000362.txt,0,0,0.0,1.0,0.0,0.4,0,0,0,0,,,,,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,3
9,3662,SUNBEAM CORP/FL/,199905,1999-05-11,10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-000775.txt,83,321,-0.5891089094328987,38.09819121447028,0.589603005381257,15.475117687940617,5807,9849,214,92,0.008427251497613971,0.0325921413341456,0.02172809422276373,0.009341049852776931,0,0,0.0,1.0,0,0.4,0,0,0,0,,,0.0,0.0,0,0,0.0,1.0,0,0.4,0,0,0,0,,,,,501
